,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
CCN,0.0,0.95,0.92,0.95,0.95,0.95,0.85,0.9,0.95,-0.85
Facility,0.95,0.0,0.85,0.95,0.95,0.85,0.85,0.95,0.9,-0.75
Address1,-0.65,0.85,0.0,0.9,0.95,0.85,0.75,0.75,-0.85,-0.85
City,-0.85,-0.95,-0.95,0.0,-0.95,-0.95,-0.85,-0.95,-0.85,-0.85
State,-0.95,-0.95,-0.95,-0.95,0.0,-1.0,-1.0,-0.95,0.95,-0.95
ZipCode,-0.95,-0.85,-0.95,0.85,0.95,0.0,0.75,-0.95,0.95,-0.85
County,-0.95,-0.95,-0.95,-0.95,-0.85,-0.95,0.0,-0.85,-0.85,-0.85
PhoneNumber,0.85,0.92,-0.4,-0.65,0.95,-0.75,0.75,0.0,-0.85,-0.95
CMSRegion,-1.0,-1.0,-1.0,-1.0,-0.95,-1.0,-1.0,-1.0,0.0,-1.0
Condition,-1.0,-0.95,-1.0,-1.0,-1.0,-0.95,-1.0,-0.95,-0.95,0.0
