,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
CCN,0.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,-0.95
Facility,1.0,0.0,0.95,0.95,0.95,0.95,0.95,0.95,1.0,-0.95
Address1,0.95,0.95,0.0,0.95,0.95,0.95,0.95,0.95,0.95,-0.95
City,-1.0,-0.95,-1.0,0.0,-1.0,-1.0,0.9,-0.95,0.95,-1.0
State,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0
ZipCode,-0.95,-0.95,-0.95,0.95,1.0,0.0,0.95,-0.95,0.95,-0.95
County,-1.0,-1.0,-1.0,-1.0,-0.95,-1.0,0.0,-1.0,0.95,-1.0
PhoneNumber,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.0,0.95,-0.95
CMSRegion,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
Condition,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
