,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
CCN,0.0,1.0,1.0,1.0,1.0,1.0,-0.9,0.95,1.0,0.95
Facility,0.95,0.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9
Address1,1.0,0.95,0.0,1.0,1.0,0.95,-0.8,1.0,-0.9,-0.95
City,-0.95,-0.9,-0.9,0.0,0.95,1.0,0.9,-1.0,-0.9,-0.8
State,-0.9,-0.95,-0.9,-0.9,0.0,-0.9,-0.8,-0.9,0.95,-0.9
ZipCode,-0.95,-0.9,-1.0,0.9,1.0,0.0,-0.8,-0.9,-0.85,-0.8
County,-0.9,-0.8,-0.8,-0.8,1.0,-0.8,0.0,-0.8,-0.8,-0.8
PhoneNumber,1.0,1.0,1.0,1.0,1.0,-0.9,0.9,0.0,-0.8,-0.9
CMSRegion,-0.9,-0.85,-0.9,-0.8,-0.9,-1.0,-0.8,-0.8,0.0,-0.8
Condition,-0.9,-0.9,-0.9,-0.85,-0.9,-0.9,-0.9,-0.8,-0.8,0.0
