,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
CCN,0.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.98
Facility,1.0,0.0,0.99,1.0,1.0,0.99,0.98,1.0,1.0,-0.1
Address1,0.98,-0.1,0.0,0.98,-0.1,0.98,0.95,0.98,0.98,-0.1
City,-0.1,-0.1,-0.1,0.0,0.98,-0.1,-0.3,-0.1,-0.65,-0.1
State,-0.1,-0.1,-0.05,-0.1,0.0,-0.1,-0.1,-0.1,0.98,-0.1
ZipCode,-0.1,-0.1,-0.1,-0.1,0.98,0.0,0.95,-0.1,0.98,-0.1
County,-0.1,-0.1,-0.1,-0.1,0.98,-0.1,0.0,-0.1,0.95,-0.1
PhoneNumber,0.98,1.0,0.98,-0.1,-0.1,-0.1,-0.1,0.0,0.98,-0.1
CMSRegion,-0.1,-0.1,-0.1,-0.1,0.98,-0.1,-0.2,-0.2,0.0,-0.1
Condition,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.0
