,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
CCN,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Facility,1.0,0.0,1.0,0.95,1.0,0.95,0.95,1.0,1.0,-0.2
Address1,1.0,-0.1,0.0,0.95,0.95,0.95,-0.2,-0.1,0.95,-0.1
City,-0.1,-0.1,-0.2,0.0,1.0,0.95,0.95,-0.1,1.0,-0.1
State,-0.1,-0.1,-0.1,-0.1,0.0,-0.2,-0.2,-0.1,1.0,-0.1
ZipCode,-0.1,-0.1,-0.1,-0.2,1.0,0.0,0.95,-0.1,0.95,-0.95
County,-0.1,-0.1,-0.1,-0.2,1.0,-0.2,0.0,-0.1,0.95,-0.1
PhoneNumber,-0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,-0.1,-0.1
CMSRegion,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,-0.2
Condition,-0.2,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.2,0.0
