,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
CCN,,0.8435665823100802,0.8099075483981217,0.8090113003446779,0.8410338809187295,0.8449527425569427,0.842055475762769,0.8450789476247397,0.8601965634514468,0.0
Facility,0.8352348467405113,,0.8045616961055929,0.8028415973574949,0.8349305746537461,0.8344987561120127,0.8337614854472768,0.8372069238228201,0.8531472581390118,0.0
Address1,0.8406113608662614,0.8432146619630735,,0.8429194451271802,0.842793976635528,0.8427986007834753,0.8437801159203349,0.8412320715823971,0.8568796515515831,0.0
City,0.5896552942515625,0.5867652150954119,0.590268048176877,,0.7862934742098999,0.6230762176913476,0.7822087232648993,0.5941432916125107,0.8120928960760324,0.0
State,0.032053026349000424,0.032366233187058,0.030876629524984933,0.05293212584307272,,0.03535389842665626,0.09173358443460311,0.0359795207531185,0.8647526498313038,0.0
ZipCode,0.7991389507081775,0.7968229817664011,0.7660650094242889,0.8077396745594776,0.8455093324135514,,0.8451497010979189,0.8004213285428167,0.85796226627802,0.0
County,0.36865122292563446,0.3678770069831536,0.35532343662141264,0.49112202835439744,0.7038054374598176,0.395064258758303,,0.3745894477227697,0.7393354009386207,0.0
PhoneNumber,0.7554781517611621,0.75118932224431,0.7223249181548896,0.7249353208681835,0.769297054579579,0.756629065089438,0.7606447376419466,,0.7919406271457494,0.0
CMSRegion,0.0077179146041339575,0.00774036010913981,0.007331630732120287,0.01321534554229753,0.29942308756547587,0.008497592242805219,0.02787987626606303,0.009724060490308717,,0.0
Condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
