,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Stateavg
ProviderNumber,0.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.92,-1.0,-1.0,-1.0,-1.0
HospitalName,0.65,0.0,0.85,-0.65,-0.35,-0.7,-0.7,0.75,0.75,0.65,0.75,-0.95,-1.0,-1.0,-1.0
Address1,0.75,0.85,0.0,0.92,0.75,0.85,0.85,0.85,0.75,0.65,0.75,-1.0,-1.0,-1.0,-1.0
City,-0.95,-0.95,-0.85,0.0,-0.85,-0.85,0.85,-0.95,-0.75,-0.95,-0.85,-1.0,-1.0,-1.0,-1.0
State,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ZipCode,-0.95,-0.85,-0.95,0.95,1.0,0.0,0.92,-0.85,-0.85,-0.85,-0.75,-1.0,-0.95,-1.0,-0.95
CountyName,-0.85,-0.85,-0.95,-0.85,-0.95,-0.85,0.0,-0.95,-0.85,-0.85,-0.75,-1.0,-0.95,-1.0,-1.0
PhoneNumber,0.85,0.92,0.75,0.72,0.95,0.75,0.85,0.0,-0.85,0.95,0.85,-1.0,-1.0,-1.0,-1.0
HospitalType,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.95
HospitalOwner,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,0.0,-1.0,-1.0,-0.95,-1.0,-1.0
EmergencyService,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.95,-0.85,-1.0,0.0,-0.95,-1.0,-1.0,-0.95
Condition,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.95,-1.0,-1.0,0.0,-0.95,-0.95,-1.0
MeasureCode,-0.95,-1.0,-0.95,-0.85,-0.95,-1.0,-0.75,-0.95,-0.95,-0.95,-0.75,0.95,0.0,0.95,-0.85
MeasureName,-1.0,-1.0,-1.0,-1.0,-0.95,-1.0,-0.99,-1.0,-0.85,-1.0,-0.95,0.95,0.95,0.0,-0.95
Stateavg,-0.95,-0.85,-0.95,-0.95,1.0,-0.95,-0.95,-0.95,-0.85,-0.95,-0.95,0.95,0.85,0.95,0.0
