,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Stateavg
ProviderNumber,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,-1.0,-1.0,-1.0,-1.0
HospitalName,1.0,0.0,0.95,0.95,0.95,1.0,1.0,1.0,0.95,0.95,0.95,-1.0,-1.0,-1.0,-1.0
Address1,0.95,0.95,0.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,-1.0,-1.0,-1.0,-1.0
City,-1.0,-0.95,-1.0,0.0,-0.95,-1.0,0.95,-0.95,-0.9,-0.9,-0.95,-1.0,-1.0,-1.0,-1.0
State,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ZipCode,-0.95,-0.85,-0.95,1.0,1.0,0.0,1.0,-0.9,0.95,0.9,0.95,-1.0,-1.0,-1.0,-1.0
CountyName,-1.0,-1.0,-1.0,-0.95,-0.95,-1.0,0.0,-1.0,-0.9,-0.95,-0.95,-1.0,-1.0,-1.0,-1.0
PhoneNumber,0.95,1.0,0.95,0.95,1.0,0.95,0.95,0.0,0.95,0.95,0.95,-1.0,-1.0,-1.0,-0.95
HospitalType,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
HospitalOwner,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.95,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
EmergencyService,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.95,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
Condition,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.95,-1.0,-0.95,0.0,-1.0,-1.0,-1.0
MeasureCode,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.95,-1.0,-0.95,0.95,0.0,1.0,-0.95
MeasureName,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.95,-1.0,-0.95,1.0,1.0,0.0,-0.95
Stateavg,-1.0,-1.0,-1.0,-0.95,1.0,-1.0,-1.0,-1.0,0.95,-0.95,-0.95,0.95,0.95,0.95,0.0
