,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Stateavg
ProviderNumber,0.0,0.95,-0.85,-0.85,-0.85,-0.85,0.85,0.95,0.95,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
HospitalName,0.85,0.0,0.95,0.85,-0.85,0.85,0.85,0.95,0.95,-0.85,-0.85,-0.85,0.85,0.85,-0.85
Address1,-0.85,-0.85,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
City,-0.85,-0.85,-0.85,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.75,-0.85,-0.85,-0.85
State,-0.85,-0.85,-0.85,-0.85,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.85
ZipCode,-0.85,-0.85,-0.85,-0.85,-0.85,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.75,-0.85,-0.85,-0.85
CountyName,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
PhoneNumber,0.85,0.95,-0.85,-0.85,-0.85,-0.85,-0.85,0.0,0.95,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
HospitalType,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
HospitalOwner,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.8,0.0,-0.85,-0.85,-0.85,-0.85,-0.85
EmergencyService,0.85,0.95,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.95,-0.85,0.0,-0.85,-0.85,-0.85,-0.85
Condition,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.75,-0.85,-0.85,-0.75,-0.85,0.0,-0.85,-0.85,-0.85
MeasureCode,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.85,-0.85,-0.85,-0.85,0.0,0.95,-0.85
MeasureName,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.85,-0.85,-0.85,-0.85,0.95,0.0,0.85
Stateavg,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.0
