,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Stateavg
ProviderNumber,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,-0.9,-0.8,-0.95,-0.95,0.9
HospitalName,1.0,0.0,1.0,0.95,0.95,1.0,0.95,1.0,0.95,0.9,-0.9,-0.9,-0.9,-0.95,-0.9
Address1,0.8,0.95,0.0,0.95,0.95,0.95,0.95,0.95,0.95,-0.9,-0.9,-0.9,-0.95,-0.95,-0.9
City,-0.95,-0.85,-0.9,0.0,0.95,1.0,0.9,-1.0,0.95,-0.95,-0.9,-0.9,-0.95,-0.9,0.9
State,-0.9,-0.95,-0.95,-0.9,0.0,-0.9,-0.95,-0.95,0.9,-0.8,-0.9,-0.8,-0.8,-0.9,1.0
ZipCode,-0.95,-0.95,-0.9,0.95,0.95,0.0,0.95,-0.95,-0.9,-0.9,-0.8,-0.85,-0.9,-0.95,-0.8
CountyName,-0.9,-1.0,-0.9,-0.95,0.9,-0.95,0.0,-0.9,-0.95,-0.9,-0.9,-0.9,-0.9,-0.9,-0.85
PhoneNumber,0.95,0.95,0.9,0.95,1.0,-0.9,1.0,0.0,0.9,0.9,-0.9,-0.9,-0.95,0.85,-0.9
HospitalType,-0.9,-0.8,-0.95,-0.8,-0.85,-0.9,-0.9,-0.9,0.0,-0.7,-0.9,-0.9,-0.95,-0.8,-0.8
HospitalOwner,-0.9,-0.85,-0.9,-0.9,-0.95,-0.9,-0.9,-0.9,-0.85,0.0,-0.8,-0.9,-0.9,-0.9,-0.8
EmergencyService,-0.9,-0.9,-0.8,-0.9,-0.9,-0.8,-0.9,-0.8,-0.9,-0.9,0.0,-0.9,-0.95,-0.9,-0.9
Condition,-0.95,-0.9,-0.9,-0.9,-0.95,-0.9,-0.9,-0.95,-0.85,-0.9,-0.9,0.0,-1.0,-0.9,0.9
MeasureCode,-0.95,-0.9,-0.95,-0.95,-0.95,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,0.9,0.0,1.0,0.95
MeasureName,-0.9,-0.95,-0.95,-0.9,-0.8,-0.85,-0.9,-0.9,-0.9,-0.9,-0.9,0.9,1.0,0.0,0.95
Stateavg,-0.9,-0.9,-0.9,-0.9,0.95,-0.9,-0.9,-0.95,-0.9,-0.9,-0.9,0.9,0.95,0.95,0.0
