,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Stateavg
ProviderNumber,0.0,0.98,0.95,0.98,0.98,0.95,0.98,0.98,0.95,0.95,-0.85,0.95,-0.85,0.95,0.95
HospitalName,0.95,0.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,-0.85,-0.95,-0.85,-0.95
Address1,-0.95,-0.95,0.0,0.95,-0.85,0.95,-0.85,-0.85,-0.85,-0.85,-0.85,-0.95,-0.95,-0.95,-0.95
City,-0.95,-0.85,-0.85,0.0,0.95,0.95,0.95,-0.95,-0.85,-0.85,-0.85,-0.85,-0.95,-0.85,-0.85
State,-0.95,-0.95,-0.85,-0.85,0.0,-0.95,0.95,-0.85,0.95,-0.85,-0.85,-0.85,-0.85,-0.85,0.95
ZipCode,-0.95,-0.95,-0.85,0.98,0.98,0.0,0.98,-0.95,0.95,-0.85,-0.85,-0.85,-0.95,-0.85,-0.85
CountyName,0.95,-0.85,-0.85,0.95,1.0,-0.85,0.0,-0.95,-0.85,0.95,-0.85,-0.85,-0.85,-0.95,-0.85
PhoneNumber,0.95,0.95,-0.85,-0.95,-0.95,-0.95,-0.85,0.0,-0.85,0.95,-0.85,-0.95,-0.95,-0.95,-0.95
HospitalType,-0.95,0.95,-0.85,-0.85,-0.95,-0.95,-0.95,-0.95,0.0,-0.85,0.95,-0.85,-0.85,-0.85,-0.95
HospitalOwner,-0.95,-0.95,-0.85,-0.85,-0.95,-0.85,-0.85,-0.85,0.95,0.0,-0.85,-0.85,-0.85,-0.85,-0.85
EmergencyService,-0.95,-0.85,-0.95,-0.85,-0.95,-0.95,-0.85,-0.85,0.95,-0.85,0.0,-0.85,-0.85,-0.85,-0.85
Condition,-0.85,-0.85,-0.85,-0.85,-0.85,-0.95,-0.85,-0.85,-0.85,-0.85,-0.85,0.0,-0.85,-0.85,-0.65
MeasureCode,-0.95,0.95,-0.95,-0.85,-0.85,-0.95,-0.85,-0.85,0.95,-0.85,0.95,-0.85,0.0,0.98,0.95
MeasureName,-0.95,-0.85,-0.95,-0.85,-0.85,-0.95,-0.85,-0.85,0.95,-0.85,-0.85,-0.85,0.95,0.0,0.95
Stateavg,-0.95,-0.95,-0.95,-0.95,0.95,-0.95,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.95,-0.85,0.0
