,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Stateavg
ProviderNumber,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.2,-0.2,-0.95,1.0
HospitalName,1.0,0.0,0.95,0.95,1.0,0.95,0.95,0.95,0.95,0.95,-0.1,-0.2,-0.1,-0.95,1.0
Address1,-0.1,0.95,0.0,0.95,1.0,0.95,0.95,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,1.0
City,-0.1,-0.2,-0.2,0.0,1.0,0.95,0.95,-0.1,-0.2,-0.2,-0.2,-0.1,-0.1,-0.95,1.0
State,-0.1,-0.1,-0.1,-0.3,0.0,-0.2,-0.2,-0.1,1.0,-0.2,-0.2,-0.1,-0.1,-0.1,1.0
ZipCode,-0.1,-0.1,-0.1,0.95,1.0,0.0,0.95,-0.1,-0.1,-0.1,-0.95,-0.1,-0.1,-0.95,1.0
CountyName,-0.1,-0.95,-0.1,-0.2,1.0,-0.1,0.0,-0.95,-0.1,-0.2,-0.1,-0.95,-0.95,-0.1,1.0
PhoneNumber,0.95,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,-0.1,-0.1,-0.1,-0.95,-0.95,-0.0,-0.1
HospitalType,-0.95,-1.0,-0.0,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,1.0
HospitalOwner,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,0.0,-0.2,-0.1,-0.1,-0.95,-0.1
EmergencyService,-0.95,-0.1,-0.95,-0.95,-0.1,-0.95,-0.95,-0.95,-0.1,-0.1,0.0,-0.1,-0.1,-0.95,-0.1
Condition,-0.95,-0.1,-0.95,-0.95,-0.1,-0.95,-0.1,-1.0,-0.2,-0.1,-0.2,0.0,-0.2,-0.2,-0.1
MeasureCode,-0.95,-0.95,-0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,0.0,1.0,1.0
MeasureName,-0.95,-0.95,-0.95,-0.95,-0.1,-0.1,-0.95,-0.1,-0.1,-0.1,-0.2,-0.1,1.0,0.0,1.0
Stateavg,-0.1,-0.0,-0.1,-0.1,1.0,-0.1,-0.95,-0.1,-0.1,-0.1,-0.1,-0.1,1.0,-0.1,0.0
