,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Stateavg
ProviderNumber,,0.9501735809817022,0.9368793310806156,0.9306090895048528,0.4298071894247303,0.937835097247304,0.9183374989746267,0.9308683920374822,0.013755221270163154,0.9342176204935861,0.8113962913195334,0.0,0.0,0.0,0.0
HospitalName,0.9417783649578724,,0.9391430770271988,0.9329212092378758,0.4317020290695167,0.9401238303077292,0.9205376320462746,0.9325190595697626,0.047910692212206785,0.9344581610131111,0.8189294603304909,0.0,0.0,0.0,0.0
Address1,0.9413612399415402,0.9519874138422175,,0.9324430711593757,0.4040507974696981,0.9376420846110995,0.920015742910868,0.9344528923254242,0.03996418520795442,0.9339746413742196,0.816601288565538,0.0,0.0,0.0,0.0
City,0.8080923546413059,0.8232819307606695,0.8082916920161762,,0.4287141018292525,0.8283121192596701,0.9243698042560368,0.8109053836732015,0.009563498951606797,0.8337092062738409,0.8093281953711822,0.0,0.0,0.0,0.0
State,0.01599780116172511,0.014307093846226526,0.01584431782799134,0.014636427806530627,,0.016043630009052623,0.016906008333785638,0.016079021087625378,0.0,0.012830803182362183,0.0,0.0,0.0,0.0,0.0005173514713892047
ZipCode,0.9152757689899536,0.9258762042938031,0.9116307553450549,0.9314272689040455,0.4078154591262739,,0.9183034599997285,0.9056843524845793,0.01553463736430083,0.9063646297286221,0.8218447314442896,0.0,0.0,0.0,0.0
CountyName,0.6812034849818852,0.692311445998977,0.6806331477781378,0.7995990033605941,0.40851561185077157,0.6938376595029156,,0.6813409371659727,0.0,0.71572337329217,0.8104830125135731,0.0,0.0,0.0,0.0
PhoneNumber,0.9414996136049739,0.9505469362178014,0.939719731644931,0.9347166758103437,0.4587030328600469,0.9377512263647777,0.9181751188192299,,0.0,0.9392045673525811,0.8181634206424598,0.0,0.0,0.0,0.0
HospitalType,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0017591543177363222,0.0,0.003404136872912189,0.0,0.0,0.0
HospitalOwner,0.15549124811630455,0.15813859774412242,0.1578271792144752,0.16019257283009158,0.04369223505112918,0.15355103822738592,0.15829928159880524,0.1570187666733983,0.01014769818457717,,0.18819263589420043,0.0,0.0,0.0,0.0
EmergencyService,0.021513182748976734,0.021335714098763447,0.020871008238117383,0.022903570674646545,0.0,0.02225858897727162,0.03164225958947975,0.021534629650934667,0.0,0.026516543554677807,,0.0,0.0,0.0,0.0
Condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021565559719499472,0.0008814174495392901,0.0,,0.11660217383333205,0.11542469443330128,0.11341459231518813
MeasureCode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9144792607259639,,0.9258508118567458,0.904137167062963
MeasureName,0.0,0.0,0.0,0.0,0.01856009379221979,0.0,0.0,0.0,0.08824100669404122,0.0,0.0,0.916307236333322,0.9393485485607705,,0.9054465654004364
Stateavg,0.0,0.0,0.0,0.0,0.4429212437899326,0.0,0.0,0.0,0.0,0.0,0.0,0.9154725566396397,0.9405348357846769,0.9282599001258085,
