,prvdr_id,frst_nm,lst_nm,adrs_id,adr_ln_1,cty,st,zip,org_pac_id,phn_numbr,NPI
prvdr_id,0.0,-0.65,-0.65,0.75,0.75,0.75,0.9,0.85,0.65,-0.95,0.95
frst_nm,-0.95,0.0,-0.95,-0.85,-0.95,-0.95,-0.95,-0.95,-0.95,-1.0,-0.95
lst_nm,-0.85,-0.95,0.0,-0.85,-0.75,-0.75,-0.85,-0.95,-0.95,-1.0,-0.95
adrs_id,0.75,-0.7,-0.75,0.0,0.9,0.95,0.85,0.95,-0.85,-0.95,0.75
adr_ln_1,-0.75,-0.75,-0.7,-0.7,0.0,0.92,0.95,0.85,-0.75,-0.95,-0.75
cty,-0.85,-0.99,-0.95,-0.85,-0.85,0.0,-0.9,-0.85,-0.7,-0.95,-0.95
st,-0.95,-1.0,-1.0,-0.95,-0.95,-0.95,0.0,-1.0,-0.95,-1.0,-1.0
zip,-0.85,-0.95,-0.95,-0.95,-0.95,0.85,0.85,0.0,-0.75,-0.95,-0.95
org_pac_id,0.85,-0.65,-0.75,0.92,0.85,0.85,0.95,0.85,0.0,-0.95,0.95
phn_numbr,-0.6,0.65,-0.75,0.65,0.85,0.85,0.85,-0.85,-0.85,0.0,-0.95
NPI,-0.75,0.95,0.95,0.75,0.95,0.75,0.95,-0.65,0.95,-0.95,0.0
