,prvdr_id,frst_nm,lst_nm,adrs_id,adr_ln_1,cty,st,zip,org_pac_id,phn_numbr,NPI
prvdr_id,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
frst_nm,-0.85,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
lst_nm,-0.85,-0.85,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
adrs_id,-0.85,-0.85,-0.85,0.0,0.85,-0.85,-0.85,-0.85,0.85,-0.85,0.85
adr_ln_1,-0.85,-0.85,-0.85,-0.85,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
cty,-0.85,-0.85,-0.85,-0.85,-0.85,0.0,-0.85,-0.85,-0.85,-0.85,-0.85
st,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.0,-0.85,-0.85,-0.85,-0.85
zip,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.0,-0.85,-0.85,-0.85
org_pac_id,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.0,-0.85,-0.85
phn_numbr,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.0,-0.85
NPI,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.0
