,prvdr_id,frst_nm,lst_nm,adrs_id,adr_ln_1,cty,st,zip,org_pac_id,phn_numbr,NPI
prvdr_id,0.0,0.95,-0.9,0.9,0.9,0.9,1.0,-0.9,-0.8,-0.9,0.95
frst_nm,-0.8,0.0,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.7,-0.9,-0.8
lst_nm,-0.8,-0.9,0.0,-0.8,-0.8,-0.8,-0.9,-0.85,-0.7,-0.8,-0.9
adrs_id,-0.9,-0.9,0.9,0.0,1.0,1.0,0.95,0.9,0.9,-0.9,0.9
adr_ln_1,-0.85,-0.9,-0.8,0.9,0.0,0.9,0.9,-0.9,0.9,-0.9,-0.9
cty,-0.8,-0.9,-0.9,-0.7,-0.9,0.0,0.9,-0.9,-0.9,-0.9,-0.95
st,-0.8,-0.9,-0.9,-0.8,-0.7,0.9,0.0,-0.85,-0.9,-0.9,-0.7
zip,-0.85,-0.9,-1.0,-0.9,-0.9,0.9,0.9,0.0,-0.9,-0.95,-0.9
org_pac_id,-0.8,-0.9,-0.9,-0.9,1.0,0.9,0.9,0.9,0.0,-0.9,-0.9
phn_numbr,-0.8,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,0.0,-0.9
NPI,0.95,1.0,0.95,0.95,0.9,1.0,-0.8,0.9,0.95,0.9,0.0
