,prvdr_id,frst_nm,lst_nm,adrs_id,adr_ln_1,cty,st,zip,org_pac_id,phn_numbr,NPI
prvdr_id,0.0,-0.1,-0.1,0.98,0.98,0.95,0.98,0.98,0.95,-0.3,0.98
frst_nm,-0.1,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
lst_nm,-0.1,-0.1,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,-0.1,-0.3
adrs_id,0.98,-0.1,-0.2,0.0,0.99,0.98,0.98,0.99,0.98,-0.3,0.98
adr_ln_1,-0.1,-0.05,-0.1,0.98,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
cty,-0.1,-0.05,-0.1,-0.1,-0.1,0.0,0.98,-0.1,-0.1,-0.1,-0.1
st,-0.1,-0.1,-0.1,-0.1,-0.1,0.98,0.0,-0.1,-0.1,-0.1,-0.1
zip,-0.1,-0.05,-0.1,-0.1,-0.1,-0.1,0.98,0.0,-0.1,-0.1,-0.1
org_pac_id,-0.2,-0.1,-0.1,0.98,0.98,0.98,0.98,-0.2,0.0,-0.3,0.98
phn_numbr,-0.2,-0.1,-0.2,-0.1,-0.2,-0.1,-0.1,-0.1,-0.3,0.0,-0.1
NPI,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0
