,prvdr_id,frst_nm,lst_nm,adrs_id,adr_ln_1,cty,st,zip,org_pac_id,phn_numbr,NPI
prvdr_id,,0.6703606483841209,0.6772349581723771,0.34905736505060403,0.3479217903633711,0.5517156418704283,0.7101772549487088,0.3908728065812055,0.7067709878946941,0.007815792466477456,0.7193675270343078
frst_nm,0.4576536803941538,,0.5007030783726791,0.22329351458464464,0.22576561202651235,0.37787618558495595,0.4783990476766492,0.2422526058143628,0.4869620963254415,0.00349614927567643,0.4960355383950106
lst_nm,0.656711813558775,0.7061966379106603,,0.33767700185707417,0.3345953948227631,0.5395188012924554,0.690624831342056,0.36093690281698676,0.6868589200730038,0.006572233723097121,0.7068689725806685
adrs_id,0.39946213062906966,0.3994028109743071,0.41266587093342133,,0.7242388207403692,0.7249346864032149,0.7191016036649762,0.6807727157242356,0.7270822786731443,0.0501818577369485,0.42658711975024644
adr_ln_1,0.39714549460112925,0.4015779132095949,0.40378166885285716,0.7111979655867745,,0.7235536381661516,0.7214125405324618,0.6701948127932893,0.7230856493934517,0.050077648991980084,0.42645684877659673
cty,0.33090064417671994,0.331824815081569,0.3392322690390196,0.38575653818744016,0.39613373989628964,,0.7055360951859702,0.4085405390439024,0.6313207762882637,0.028737287092105768,0.3593079451514809
st,0.09551380987833946,0.0956677309434607,0.1004948431208943,0.07525687302864448,0.07712842364878669,0.1869198574526385,,0.08451153786950316,0.22429749922511444,0.006878873173064237,0.10541253095704917
zip,0.4337378583409668,0.41051951812698373,0.4202614992285134,0.6153748062978719,0.6166524324209458,0.718741281302509,0.7143156096286807,,0.7257410602770051,0.042410400162191886,0.44021388190689537
org_pac_id,0.3438880194124875,0.34611007677787975,0.35024567010543295,0.31020152194351125,0.3118461010832766,0.5269589888114223,0.7203506988795443,0.3264217609494099,,0.026144308083721812,0.37058346651750784
phn_numbr,0.11203553069425665,0.09713438847178968,0.10873953658740065,0.5970223119407388,0.5928960225174487,0.72489332949848,0.798834838715178,0.5870949389735369,0.8188743628557515,,0.11314865278469399
NPI,0.6791930523733294,0.6799344565083435,0.6872437096070544,0.34759765604011184,0.34860543563625424,0.5583179018927578,0.7169989925269262,0.3679707288389994,0.7121792613800473,0.007392390221359291,
