,name,surname,birthyear,birthplace,position,team,city,stadium,season,manager
name,0.0,-0.7,0.65,0.95,0.65,0.85,-0.75,-0.3,-0.75,-0.85
surname,-0.85,0.0,-0.95,-0.85,-0.95,-0.85,-0.85,-0.85,-0.85,-0.75
birthyear,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.95,-1.0
birthplace,-0.95,-0.95,-0.95,0.0,-0.95,-0.95,-0.85,-0.85,-0.95,-0.3
position,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
team,-1.0,-1.0,-1.0,-1.0,-0.75,0.0,-0.95,-1.0,-0.7,-0.95
city,-1.0,-1.0,-1.0,-0.95,-0.7,0.95,0.0,0.65,-0.75,-0.95
stadium,-1.0,-1.0,-1.0,-1.0,-1.0,-0.95,-0.95,0.0,-1.0,-0.95
season,-1.0,-1.0,-1.0,-1.0,-1.0,-0.95,-1.0,-1.0,0.0,-0.95
manager,-1.0,-1.0,-1.0,-0.95,-0.3,0.95,-1.0,-0.95,0.4,0.0
