,name,surname,birthyear,birthplace,position,team,city,stadium,season,manager
name,0.0,0.9,0.95,0.95,0.95,0.9,0.9,-0.95,-0.95,-0.9
surname,-0.95,0.0,-0.95,-0.95,0.9,-0.95,-0.95,-0.95,-0.95,-0.9
birthyear,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.95
birthplace,-1.0,-1.0,-0.95,0.0,-0.95,-0.95,-0.95,-0.95,-1.0,-0.95
position,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
team,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.95,-0.95
city,-1.0,-1.0,-1.0,-0.95,-0.95,-0.95,0.0,0.9,-0.95,-1.0
stadium,-1.0,-1.0,-1.0,-1.0,-0.95,-0.95,-1.0,0.0,-1.0,-0.95
season,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
manager,-0.95,-0.95,0.9,0.95,-0.95,-0.9,-0.95,-0.9,0.9,0.0
