,name,surname,birthyear,birthplace,position,team,city,stadium,season,manager
name,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
surname,-0.85,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
birthyear,-0.85,-0.85,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
birthplace,-0.85,-0.85,-0.85,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
position,-0.85,-0.85,-0.85,-0.85,0.0,-0.85,-0.85,-0.85,-0.85,-0.85
team,-0.85,-0.85,-0.85,-0.85,-0.85,0.0,-0.85,-0.85,-0.85,-0.85
city,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.0,-0.85,-0.85,-0.85
stadium,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.0,-0.85,-0.85
season,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.0,-0.85
manager,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,0.0
