,name,surname,birthyear,birthplace,position,team,city,stadium,season,manager
name,0.0,1.0,-0.9,1.0,1.0,0.9,-0.95,-0.9,-0.9,0.9
surname,-1.0,0.0,-0.9,-0.9,-0.9,-0.9,-1.0,-1.0,-0.9,-0.9
birthyear,-0.9,-0.9,0.0,-0.8,-0.85,-0.9,-0.9,-0.9,-0.85,-0.9
birthplace,-0.95,-0.8,-0.85,0.0,-0.85,-0.8,-1.0,-0.9,-0.95,-0.9
position,-0.9,-0.9,-0.85,-0.9,0.0,-1.0,-0.95,-0.9,-0.85,-0.9
team,-0.95,-1.0,-0.95,-0.9,-0.85,0.0,-0.9,-0.9,-0.9,0.9
city,-0.9,-0.9,-0.95,-1.0,-0.9,-0.9,0.0,-0.9,-0.9,-1.0
stadium,-0.9,-0.95,-1.0,-0.9,-0.9,-0.8,-0.95,0.0,-0.9,-0.9
season,-0.9,-0.9,-0.9,-0.95,-0.9,-0.9,-0.85,-0.9,0.0,-0.9
manager,-0.9,-0.9,-0.9,-0.9,-0.8,-0.85,-0.9,-0.9,-0.9,0.0
