,name,surname,birthyear,birthplace,position,team,city,stadium,season,manager
name,0.0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1
surname,-0.1,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
birthyear,-0.0,-0.05,0.0,-0.1,-0.1,-0.1,-0.1,-0.0,-0.1,-0.1
birthplace,-0.1,-0.1,-0.1,0.0,-0.1,-0.1,-0.1,-0.0,-0.0,-0.1
position,-0.0,-0.0,-0.1,-0.1,0.0,-0.1,-0.95,-0.1,-0.1,-0.1
team,-0.95,-0.1,-0.1,-0.1,-0.2,0.0,-0.2,-0.2,-0.95,0.95
city,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,-0.2,-0.95,-0.1
stadium,-1.0,-0.0,-0.0,-0.1,-0.1,-0.2,-0.3,0.0,-0.1,-0.1
season,-0.1,-0.95,-0.95,-0.1,-0.1,-0.1,-0.95,-0.2,0.0,-0.2
manager,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.0
