,name,surname,birthyear,birthplace,position,team,city,stadium,season,manager
name,,0.9658512166911988,0.9738817297277205,0.9742216496937536,0.6514102420970524,0.5534630991667124,0.5592494256063419,0.5561162951843193,0.5520742226889499,0.5521268008124539
surname,0.962862399469965,,0.9714891308796753,0.9722952077476175,0.6488777441148046,0.551939624328043,0.557632534186913,0.5561710449876145,0.5518215278253933,0.5507411576685611
birthyear,0.12248723260850469,0.12258787189272069,,0.12239139519823505,0.07020119668241687,0.061133197977619624,0.0600113090290485,0.06433519214314432,0.04675423879934071,0.0584843276490884
birthplace,0.676194546613178,0.6770662245534986,0.680897693906162,,0.41573042768667445,0.3630012718891664,0.369517943531245,0.36649410363884327,0.3730345375847073,0.35911840181773524
position,0.009824864013708301,0.009804499913984799,0.009728141623433162,0.008538040215277487,,0.007609522746116704,0.008902978901287106,0.006020197464587929,0.006112777356230281,0.00854795483531956
team,0.08818500287217745,0.088273600762938,0.095476330493521,0.08681919680062322,0.09868836638793976,,0.7826211013285368,0.7686493482679307,0.606843978282174,0.5751706507201896
city,0.06695639298840683,0.06702401171949124,0.07240694498816547,0.06640509570718389,0.07881584067495517,0.6246470827253874,,0.7483457195275136,0.34295635755218634,0.34378323435110103
stadium,0.0681490518963106,0.06829556391407732,0.0749854691577877,0.06719097785227934,0.06646820710101842,0.6217188905432057,0.7429011468307087,,0.3514999431328496,0.35023615756123805
season,0.012291453608667124,0.012322337284407792,0.009806870816438384,0.012654787838509374,0.013560378003495521,0.10636047912538271,0.07612851605652238,0.07228842645882405,,0.084305879811022
manager,0.1014151720170926,0.10154522357796247,0.10445118695693034,0.09992577378673939,0.1130630827554755,0.6653722832964115,0.5225476334578867,0.5156668370940172,0.5976324423645263,
